Source,SampleID,Seat tube (m),Down tube (m),Seat stays (m),Head tube (m),Bottom bracket (m),Chain stay start (m) [Back fork side],Chain stay end (m) [seat tube side],Top tube start (m) [Seat tube side],Top tube end (m) [Head tube side],Seat tube Joint (MPa),Head tube Joint (MPa),Bottom Bracket Joint (MPa),Seat tube Joint (Pa),Head tube Joint (Pa),Bottom Bracket Joint (Pa),Vertical Force (N),Vertical Displacement (m),Vertical Displacement (mm),Vertical Compliance (mm/N),Vertical Stiffness (N/mm),Lateral Force (N),Lateral Displacement (m),Lateral Displacement (mm),Lateral Stiffness (N/mm)
Fillet_First60,75,0.00164127,0.00217455,0.00153474,0.00274548,0.00222263,0.00212486,0.001637,0.00286482,0.00164992,28.575,45.593,51.283,2.86E+07,4.56E+07,5.13E+07,2400,-4.54E-04,-0.454203,0.00018925,5283.979478,1660,-1.53E-03,-1.531344,1084.015425
Fillet90,1,0.00175212,0.00215941,0.00125293,0.00201083,0.00195309,0.00217373,0.00162378,0.00285279,0.00165781,33.813,54.957,52.874,3.38E+07,5.50E+07,5.29E+07,2400,-4.78E-04,-0.478275,0.00019928,5018.032323,1660,-1.60E-03,-1.596713,1039.635851
Fillet90,2,0.00176873,0.00205627,0.00143751,0.00236398,0.00150994,0.00217008,0.00162657,0.00286974,0.00167052,30.082,46.59,59.032,3.01E+07,4.66E+07,5.90E+07,2400,-4.63E-04,-0.463198,0.000193,5181.370632,1660,-1.52E-03,-1.522846,1090.06447
Fillet90,3,0.00145491,0.00206546,0.00104377,0.00259267,0.00160336,0.00209974,0.0016146,0.00296233,0.00165954,39.541,46.167,59.012,3.95E+07,4.62E+07,5.90E+07,2400,-5.37E-04,-0.536948,0.00022373,4469.709353,1660,-1.73E-03,-1.729203,959.97965
Fillet90,4,0.00166522,0.00229657,0.00133351,0.0027336,0.00158058,0.00214112,0.00160514,0.00295648,0.00168052,32.194,44.11,56.889,3.22E+07,4.41E+07,5.69E+07,2400,-4.73E-04,-0.47307,0.00019711,5073.239972,1660,-1.57E-03,-1.572106,1055.908181
Fillet90,5,0.00171361,0.00251594,0.00152868,0.00238121,0.00198405,0.00213185,0.00160729,0.0028819,0.00164062,28.877,46.925,47.823,2.89E+07,4.69E+07,4.78E+07,2400,-4.43E-04,-0.443247,0.00018469,5414.589381,1660,-1.52E-03,-1.517057,1094.223687
Fillet90,6,0.00153393,0.00254111,0.00110916,0.00211875,0.00197717,0.002166,0.0016178,0.00296684,0.00167378,37.728,51.578,47.649,3.77E+07,5.16E+07,4.76E+07,2400,-5.02E-04,-0.501595,0.000209,4784.738573,1660,-1.67E-03,-1.672289,992.651414
Fillet90,7,0.00167305,0.00255784,0.00125896,0.00211081,0.00234256,0.00210405,0.00163028,0.00294119,0.0016963,33.896,52.021,43.731,3.39E+07,5.20E+07,4.37E+07,2400,-4.70E-04,-0.469664,0.00019569,5110.041476,1660,-1.60E-03,-1.603534,1035.213448
Fillet90,8,0.00152521,0.00207341,0.00116377,0.00265932,0.0024895,0.00212924,0.00162304,0.00286262,0.00167853,35.865,45.051,52.889,3.59E+07,4.51E+07,5.29E+07,2400,-5.04E-04,-0.503734,0.00020989,4764.415924,1660,-1.66E-03,-1.664578,997.24955
Fillet90,9,0.00165156,0.00230003,0.00107753,0.00274274,0.00224565,0.00208683,0.00164224,0.00293688,0.00164193,38.591,45.492,48.74,3.86E+07,4.55E+07,4.87E+07,2400,-5.03E-04,-0.503311,0.00020971,4768.421904,1660,-1.68E-03,-1.684691,985.343755
